time,open,high,low,close,volume
10/9/2024,62130.05,62530.42,60439.87,60647.99,93092147716
10/8/2024,62319.44,63130.04,61912.01,62215.97,1.07E+11
10/7/2024,62845.99,64436.04,62213.98,62300.75,96095290446
10/6/2024,62000.06,62915.02,61839.92,62823.43,73632122102
10/5/2024,62198.05,62331.35,61723.39,62084,90303823444
10/4/2024,60788.37,62445.33,60488.64,62110.02,1.07E+11
10/3/2024,60546.49,61464.04,60077.99,60776.01,1.15E+11
10/2/2024,60816.01,62227.26,60005.98,60670.03,1.21E+11
10/1/2024,63344,64125.97,60395.96,60888.04,1.09E+11
9/30/2024,65540,65554.02,63022.02,63290,96312396820
9/29/2024,65860.6,66052,65438,65668.25,77961286117
9/28/2024,65816.87,66190.2,65436.71,65923.99,93228914145
9/27/2024,65107.96,66380.99,64850.01,65762.47,1.14E+11
9/26/2024,63140.63,65616.04,62792.05,65142.08,1.04E+11
9/25/2024,64208.02,64669.95,62957.27,63165.61,1.04E+11
9/24/2024,63346.7,64587.13,62752.04,64335.62,1.03E+11
9/23/2024,63467.95,64644.96,62842.02,63332.69,1.08E+11
9/22/2024,63359.99,63868.07,62476.04,63575.97,84841750994
9/21/2024,63112.9,63519.41,62823.98,63389.92,94051059382
9/20/2024,62935.88,64053.96,62400.04,63102.03,1.16E+11
9/19/2024,61831.96,63819.92,61592,62953.98,1.27E+11
9/18/2024,60313.98,61449.14,59216.01,61449.14,1.10E+11
9/17/2024,58267.94,61259.99,57620,60303.5,1.02E+11
9/16/2024,59191.96,59191.96,57549.78,58229.2,94703021875
9/15/2024,59999.98,60375.64,58855.95,59198.11,77829620369
9/14/2024,60560.04,60590.1,59530.84,59987.93,1.00E+11
9/13/2024,58153.97,60593.91,57688.82,60575.47,1.01E+11
9/12/2024,57371.99,58514.55,57371.99,58116.05,1.12E+11
9/11/2024,57600.01,57960.58,55588.99,57364.02,1.08E+11
9/10/2024,56964.02,57984.81,56487.58,57627.99,1.04E+11
9/9/2024,54777.01,57869.99,54624.95,57031.98,95723896725
9/8/2024,54116.16,55228.47,53694.23,54823.96,77973295409
9/7/2024,53976.04,54810.03,53767.28,54188.32,1.21E+11
9/6/2024,56209.17,56896.3,52738,53922.68,1.21E+11
9/5/2024,58006.56,58284.98,55835,56170.04,1.16E+11
9/4/2024,57644.03,58489.96,55737.91,57984.05,1.19E+11
9/3/2024,59105.91,59764,57544.01,57544.01,1.11E+11
9/2/2024,57333.38,59350.72,57297.96,59127.62,1.12E+11
9/1/2024,58972.96,59038.16,57268.97,57341.08,99808533702
8/31/2024,59115.46,59382.99,58800.05,58965.98,1.03E+11
8/30/2024,59295.05,59763.02,57944,59158,1.07E+11
8/29/2024,59076.95,61106.97,58821.98,59348.98,1.10E+11
8/28/2024,59320.04,60162,57933.03,59034.65,1.25E+11
8/27/2024,62828.6,63189.69,58564.03,59503.05,1.09E+11
8/26/2024,64347.03,64374.01,62866.04,62866.04,1.01E+11
8/25/2024,64184.99,64837.15,63792.95,64279.03,94619490855
8/24/2024,64090.69,64416.96,63625.97,64107.98,1.26E+11
8/23/2024,60392.09,64851.37,60392.09,63979.97,1.10E+11
8/22/2024,61167.48,61379.44,59953.14,60386.02,1.10E+11
8/21/2024,59114.41,61813.19,58907.09,61109.99,1.09E+11
8/20/2024,59448,61315.96,58705.68,59056.01,1.04E+11
8/19/2024,58320.02,59562.71,57928.86,59562.71,93178855472
8/18/2024,59479.04,60212.28,58525.95,58525.95,80655928563
8/17/2024,58902.94,59669.97,58855.66,59420.03,88140111622
8/16/2024,57523.11,59806.42,57168.52,58902.1,1.06E+11
8/15/2024,58731.42,59808.54,56658.81,57600,1.04E+11
8/14/2024,60460.83,61459.95,58577.96,58730.93,1.00E+11
8/13/2024,59455.98,61507.57,58526.98,60565.01,1.04E+11
8/12/2024,58804.02,60469.67,57916.99,59342.02,1.00E+11
8/11/2024,60958.03,61554.95,58439.57,58819.99,79394741807
8/10/2024,60707.54,61178.66,60262.05,60875.98,95154408737
8/9/2024,61642.59,61642.59,59699.99,60848.51,1.19E+11
8/8/2024,55208.09,62442.19,54745.98,61837.93,1.15E+11
8/7/2024,55931.96,57657.97,54669.95,55024.11,1.16E+11
8/6/2024,54153.99,56949.51,54153.99,55982.04,1.80E+11
8/5/2024,58282.02,58282.02,49435.77,54006,2.12E+11
8/4/2024,60721.48,61077.99,57382,58074.85,92944193833
8/3/2024,61551.85,62193.7,59959.55,60760.03,1.28E+11
8/2/2024,65470.03,65526.01,61377.99,61487.05,1.27E+11
8/1/2024,64690.06,65535.99,62356.12,65409.83,1.16E+11
7/31/2024,66095.88,66779.95,64565.99,64665.98,1.05E+11
7/30/2024,66743.69,66988.03,65500.99,66244.03,1.14E+11
7/29/2024,68190.01,69947.98,66694.08,66810.03,1.01E+11
7/28/2024,67699.97,68270.69,67070.3,68234.91,1.16E+11
7/27/2024,67865.97,69386.01,66800.05,68045.98,1.02E+11
7/26/2024,65828.01,68200.04,65828.01,67914.02,1.13E+11
7/25/2024,65453.96,66042.03,63509.02,65750.02,1.11E+11
7/24/2024,65989.99,67054,65249.96,65412.03,1.07E+11
7/23/2024,67537.99,67693.99,65528.37,65914.55,1.15E+11
7/22/2024,68178.02,68428.05,66617.59,67587.97,1.12E+11
7/21/2024,67102,68286.03,66038.96,68071.99,89676444049
7/20/2024,66699.54,67536.34,66263.2,67182.45,1.05E+11
7/19/2024,63910.04,67348.04,63311.26,66648.03,1.02E+11
7/18/2024,64159.97,65088.95,63253.12,63966.13,99977799879
7/17/2024,65076.01,66022.58,63951.49,64120.47,1.13E+11
7/16/2024,64868.03,65264.81,62529.99,65119.1,1.17E+11
7/15/2024,60876.22,64819.37,60680.22,64819.37,1.00E+11
7/14/2024,59318.59,61330.03,59316.48,60946.02,85066289307
7/13/2024,57858.96,59687.99,57774.09,59174.19,83611257770
7/12/2024,57299.22,58519.96,56607.98,57899.96,93418137285
7/11/2024,57619.19,59282.81,57174.19,57381.96,91437938549
7/10/2024,57923.75,59317.95,57193.27,57719.47,91848128823
7/9/2024,56646.67,58127.91,56409.45,57995.99,1.00E+11
7/8/2024,55857.81,57909.97,54411.12,56681.81,99609702444
7/7/2024,58230.16,58374.36,55818,55878.38,79631334265
7/6/2024,56628.73,58398.11,56050.98,58232.99,98029265844
